"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"AL022724.3","OK","negbinomial.size",0.00330393103178196,0.00826708802768918,"AL022724.3",130
"C2orf92","OK","negbinomial.size",0.00331459805403055,0.00829270706111792,"C2orf92",586
"LINC01474","OK","negbinomial.size",0.00332915688332677,0.00832805502591836,"LINC01474",59
"SLC46A1","OK","negbinomial.size",0.00332972695952809,0.0083284048010835,"SLC46A1",120
"PEX10","OK","negbinomial.size",0.00334013299314059,0.00835335327496413,"PEX10",634
"PRELID3B","OK","negbinomial.size",0.00334144535043096,0.00835555582590002,"PRELID3B",3589
"TRIM8","OK","negbinomial.size",0.00334266906521658,0.00835753617868733,"TRIM8",9938
"Z99756.1","OK","negbinomial.size",0.00334678209596958,0.00836673912329628,"Z99756.1",32
"AC020907.3","OK","negbinomial.size",0.00334783343164709,0.00836828663951353,"AC020907.3",46
"BUB1B","OK","negbinomial.size",0.00335049294777804,0.00837372740196318,"BUB1B",93
"TCF20","OK","negbinomial.size",0.00335087526246871,0.00837372740196318,"TCF20",2137
"TGFBR1","OK","negbinomial.size",0.00335450665194883,0.00838172005444346,"TGFBR1",3314
"INPP5K","OK","negbinomial.size",0.00335877470499993,0.0083913012344713,"INPP5K",2525
"GAR1","OK","negbinomial.size",0.00336288586324352,0.00840048801842879,"GAR1",2326
"SH3YL1","OK","negbinomial.size",0.00336486038896896,0.0084032515222903,"SH3YL1",794
"HACE1","OK","negbinomial.size",0.00336446220882203,0.0084032515222903,"HACE1",628
"PIGG","OK","negbinomial.size",0.00337100944756219,0.0084175219138882,"PIGG",1354
"UBE2V2","OK","negbinomial.size",0.00337152267616474,0.00841771758577594,"UBE2V2",4817
"AL139383.1","OK","negbinomial.size",0.00337489389371781,0.00842504785925917,"AL139383.1",40
"IFT172","OK","negbinomial.size",0.0033799238028851,0.00843651644776879,"IFT172",199
"AL138916.2","OK","negbinomial.size",0.00338147320314478,0.00843929561542979,"AL138916.2",14
"MCU","OK","negbinomial.size",0.00338384118814348,0.00844411678211852,"MCU",2040
"SUN1","OK","negbinomial.size",0.00338583424866329,0.00844800123116464,"SUN1",2884
"C11orf24","OK","negbinomial.size",0.00339232623139529,0.00846310850123967,"C11orf24",938
"LRPPRC","OK","negbinomial.size",0.00339380657437574,0.0084657105489937,"LRPPRC",3750
"RPL39L","OK","negbinomial.size",0.00340631586150366,0.00849581962777043,"RPL39L",198
"AC000403.1","OK","negbinomial.size",0.00341513393123035,0.00851671573136124,"AC000403.1",110
"FCRL3","OK","negbinomial.size",0.00341917033094241,0.00852568338220433,"FCRL3",46
"DNPEP","OK","negbinomial.size",0.00342245891003079,0.00853209661113277,"DNPEP",3151
"CHERP","OK","negbinomial.size",0.00342262386658294,0.00853209661113277,"CHERP",1806
"MRPS22","OK","negbinomial.size",0.00342971291462505,0.00854866763950516,"MRPS22",3200
"GMFB","OK","negbinomial.size",0.00343102023793417,0.00855082512497641,"GMFB",4316
"GGT1.1","OK","negbinomial.size",0.00343220085539025,0.00855266631794402,"GGT1.1",64
"DGKA","OK","negbinomial.size",0.0034377561716816,0.00856540690117657,"DGKA",2566
"CMTM1","OK","negbinomial.size",0.00344025905814871,0.00857053984409069,"CMTM1",262
"MRPS30-DT","OK","negbinomial.size",0.00344411408386114,0.00857903954720114,"MRPS30-DT",16
"AC018809.2","OK","negbinomial.size",0.0034458334521279,0.00858221797900667,"AC018809.2",246
"CLDN23","OK","negbinomial.size",0.00344715674588271,0.00858440925383399,"CLDN23",117
"KIF9-AS1","OK","negbinomial.size",0.0034506261184142,0.00859194362929555,"KIF9-AS1",404
"MAP10","OK","negbinomial.size",0.00345506644122918,0.00860189338943708,"MAP10",329
"ZNF630","OK","negbinomial.size",0.00345650261627694,0.0086043622869435,"ZNF630",102
"SAMD4A","OK","negbinomial.size",0.00345950522467508,0.00861072941160287,"SAMD4A",2474
"AP002495.1","OK","negbinomial.size",0.00346191919300826,0.00861562995873758,"AP002495.1",342
"LINC01736","OK","negbinomial.size",0.00347845219602119,0.00865566257338759,"LINC01736",371
"CIC","OK","negbinomial.size",0.00348528247696566,0.00867154407540157,"CIC",3298
"AC004921.2","OK","negbinomial.size",0.00349484303930321,0.00869421368870226,"AC004921.2",16
"USP37","OK","negbinomial.size",0.00349857319707455,0.00870237488766024,"USP37",746
"FAM124B","OK","negbinomial.size",0.00349940052316865,0.00870331439380387,"FAM124B",241
"ECI1","OK","negbinomial.size",0.00350683474477879,0.00872068347310932,"ECI1",4923
"TAPT1-AS1","OK","negbinomial.size",0.00350884991538843,0.00872457390008655,"TAPT1-AS1",97
"WNT10A","OK","negbinomial.size",0.00351042936366624,0.00872738006582164,"WNT10A",46
"MYEOV","OK","negbinomial.size",0.00352046389011255,0.008751203226006,"MYEOV",65
"USP43","OK","negbinomial.size",0.00352461405252497,0.00876039473738133,"USP43",57
"TAF5L","OK","negbinomial.size",0.00352705739482077,0.00876534214809933,"TAF5L",1757
"SSTR2","OK","negbinomial.size",0.00352793339182026,0.00876639366694028,"SSTR2",94
"AL592435.1","OK","negbinomial.size",0.00352927377560289,0.00876797970644741,"AL592435.1",128
"CHROMR","OK","negbinomial.size",0.00352947759842115,0.00876797970644741,"CHROMR",1295
"UNC80","OK","negbinomial.size",0.00353790253151096,0.00878778125272136,"UNC80",26
"RTF2","OK","negbinomial.size",0.00354196388603671,0.00879674043392514,"RTF2",9240
"DESI1","OK","negbinomial.size",0.00355229300301943,0.00882126179082066,"DESI1",4868
