"","Gene_Clusters"
"PERP","1"
"LSM3","3"
"SAR1A","2"
"NUTM2B-AS1","1"
"SLC7A5","3"
"NBDY","3"
"KATNB1","1"
"VCX","2"
"RICTOR","1"
"LCN2","1"
"NUP37","3"
"YBX1","3"
"NEDD9","1"
"CXorf21","1"
"CYP3A5","2"
"AC023509.3","1"
"EHBP1L1","1"
"HIST1H2BD","1"
"KCNK6","2"
"GAS5","3"
"MPND","3"
"AP4M1","1"
"MALAT1","1"
"ACIN1","1"
"TSPYL2","1"
"MED29","1"
"AL109615.3","1"
"AL355075.3","2"
"MPPE1","2"
"LRMP","1"
"USP9Y","1"
"OLR1","1"
"MTERF1","1"
"CD44-AS1","2"
"AC025171.2","1"
"C3AR1","3"
"ITGA5","1"
"GLTP","3"
"MKRN1","2"
"HILPDA","1"
"SNHG1","1"
"AC007728.3","2"
"ATP6AP2","3"
"AC007952.4","1"
"BMERB1","3"
"FBXO8","1"
"PDE6G","3"
"FOXB1","1"
"AC114341.2","1"
"PRELID1","3"
"NOM1","1"
"RAB11FIP1","1"
"RHOQ","2"
"C10orf25","2"
"ATP6V0D1","3"
"TBC1D7","1"
"LMAN1","3"
"CCL4L2","3"
"HIST1H2AE","1"
"ETS1","1"
"CWC15","3"
"AKT1","1"
"SERTAD1","3"
"AC025300.1","2"
"AL136169.1","2"
"MRFAP1","3"
"CNTNAP3","1"
"TDG","3"
"AC006946.2","2"
"OXLD1","3"
"TMEM203","3"
"PES1","3"
"YBX3","1"
"PCGF5","3"
"LY86","3"
"U2SURP","2"
"HYLS1","1"
"BRD2","1"
"CMC2","3"
"MS4A6A","3"
"AC087284.1","1"
"TAGLN","2"
"SMIM30","3"
"MC1R","1"
"LINC01063","3"
"LINC01579","2"
"ELOB","3"
"PMS2","1"
"EIF1AX","3"
"CA2","1"
"TRIOBP","2"
"HDAC6","1"
"CD109","3"
"AURKB","1"
"APBB3","1"
"DYM","1"
"ZDHHC8","1"
"MPHOSPH6","3"
"KCNJ2","1"
"MT-ND1","1"
"LINC00628","2"
"MRPL34","3"
"CD300E","3"
"TRIM71","1"
"RNF24","1"
"MARCH3","1"
"POLR2H","3"
"AL731577.1","2"
"RBBP7","1"
"PTPRJ","2"
"RNF141","3"
"PIK3R6","1"
"LZTR1","1"
"RXRA","2"
"CHCHD3","3"
"SCGB3A2","3"
"ACOT11","1"
"HSPB11","3"
"CELF1","1"
"CCDC84","1"
"AL135791.1","1"
"SYNJ2","3"
"AL683813.1","1"
"TNFSF14","2"
"STX1A","2"
"FMC1","3"
"NQO2","2"
"ANKLE2","1"
"POP5","3"
"CCDC180","1"
"CNOT3","1"
"FNTA","3"
"POLR2I","3"
"SIRT1","1"
"EIF3D","3"
"SPNS1","2"
"PHACTR1","2"
"C2orf92","1"
"AL353135.1","1"
"UROD","3"
"VSIR","3"
"NEU1","1"
"HBM","1"
"TOR1B","2"
"FKBP1A","3"
"AVPR1A","1"
"GPD2","2"
"C1QTNF3","1"
"CA5B","1"
"NCK1-DT","1"
"FZD3","1"
"ZNF620","1"
"NONO","2"
"ARFGEF2","2"
"SORBS3","3"
"CNTNAP3B","1"
"MCU","2"
"KIF20B","1"
"AC004542.2","2"
"SC5D","2"
"AIP","3"
"RFLNB","2"
"PKMYT1","1"
"ING2","3"
"TC2N","1"
"TMPRSS13","1"
"RASAL3","1"
"TGFBR2","2"
"PGGHG","1"
"VPS37B","1"
"RNF181","3"
"SEPTIN5","1"
"AC104248.1","1"
"ECH1","3"
"AC090152.1","1"
"IQGAP2","3"
"HIST1H2AK","1"
"RCBTB1","2"
