"","Gene_Clusters"
"AC021321.1","2"
"SPNS3","2"
"NOL12","3"
"MRPL46","3"
"TUT7","1"
"WDR62","2"
"CKLF","3"
"EPHB1","2"
"ZNF335","2"
"EZR","3"
"PRF1","2"
"CBX3","3"
"MRTO4","3"
"ANKRD54","2"
"HP","2"
"NFAM1","1"
"IREB2","2"
"SLC66A1","2"
"AC006333.2","3"
"LYL1","3"
"FUS","2"
"HCFC1R1","3"
"TERC","2"
"SEPHS2","2"
"RAB9A","3"
"SHOC2","1"
"ASRGL1","3"
"LCA5","2"
"TMEM258","3"
"CRY2","1"
"CD7","2"
"DENND6B","3"
"EBF3","2"
"CARMIL1","1"
"TWF1","2"
"IFITM3","3"
"MYOM1","3"
"GLIS3","2"
"FARP1","1"
"ANGPT1","2"
"AC093635.1","2"
"CPQ","1"
"AC004477.1","2"
"VPS29","3"
"KDELR3","1"
"CRACR2A","1"
"SLC39A4","3"
"STIM1","1"
"ZNF7","1"
"TENM1","1"
"CALML4","3"
"GAS7","1"
"SH3GL1","2"
"NRIP1","1"
"FOXJ2","1"
"UBE2O","2"
"MFSD12","1"
"C15orf61","3"
"SSBP4","3"
"NTHL1","3"
"HIPK3","1"
"HIST1H2AC","2"
"IGLC2","3"
"SPESP1","1"
"SMCO4","3"
"PLPP5","2"
"SNTB2","1"
"SOD1","3"
"TUBB6","1"
"MTBP","2"
"CCDC57","3"
"AC123912.4","2"
"ARHGEF10L","1"
"SERGEF","3"
"NCAPD2","1"
"ALKBH3","3"
"SAC3D1","3"
"TMEM91","3"
"UTY","1"
"PHC3","2"
"ACOT9","1"
"AC023157.3","1"
"RGS3","2"
"AL391121.1","2"
"MARS2","2"
"CSF1R","3"
"FOSB","2"
"AL355297.4","2"
"CAVIN3","3"
"PLAA","1"
"UBR3","1"
"ANAPC16","3"
"EBI3","3"
"GCLC","1"
"AC024451.4","1"
"PDE7A","2"
"TLR2","1"
"FBXO3","1"
"INSYN2B","1"
"DGKE","2"
"AC008735.2","1"
"SESN3","1"
"MED7","3"
"RELL1","1"
"CYHR1","2"
"HBG1","2"
"CYP51A1","1"
"MON2","2"
"TRAP1","3"
"FAM193B","2"
"ZNF367","2"
"DIP2B","2"
"MEF2A","1"
"TACC1","1"
"LRRC4","1"
"AL353194.1","2"
"USP10","1"
"ERICH1","2"
"AMZ2","1"
"ACTN1","2"
"HSP90B1","1"
"PTPN7","2"
"FGD6","1"
"PRKY","1"
"AGAP2","2"
"SNCAIP","2"
"NUMA1","2"
"DNAJC2","2"
"UPF3A","2"
"PEPD","3"
"AL031772.1","1"
"BST2","3"
"ZNFX1","2"
"ZBTB10","2"
"SELENBP1","2"
"AC106820.4","2"
"FSCN1","2"
"LRFN4","2"
"GPA33","3"
"NDUFA6","3"
"COX6B1","3"
"AC104984.5","1"
"SUSD6","1"
"RPS16","3"
"USP54","2"
"CACNB3","2"
"PNISR","2"
"RBM39","2"
"DOC2A","2"
"KIAA0513","1"
"TOMM7","3"
"CYCS","2"
"OSBPL11","1"
"ZNF276","2"
"AP003486.1","1"
"STIP1","3"
"NKG7","3"
"VLDLR","1"
"CENPW","3"
"TRIM73","2"
"ARHGEF12","1"
"TMX4","1"
"FANCG","2"
"ELMO1","2"
"COX7B","3"
"RIPOR2","1"
"MSTO1","2"
"CD1E","3"
"SLC35B2","1"
"SLC25A35","2"
"NPFFR1","2"
"RAMP3","3"
"TRIAP1","3"
"AC090204.1","3"
"SLITRK5","2"
"TAB2","1"
"BAIAP2","2"
"DTX3L","1"
"CDV3","3"
"MDN1","2"
"EFR3A","1"
"TRAF4","2"
"HECA","1"
"DGCR8","2"
"GTF3C4","2"
"AL358472.4","2"
"AL590822.2","1"
"BUD31","3"
"DOCK8","1"
"SNHG19","3"
"SNRPB","3"
"SIGLEC15","2"
"AC008124.1","2"
"FUT11","2"
"ZNF736","2"
"TXNDC17","3"
"PRIMPOL","2"
"EVI2A","3"
"LINC00539","2"
"MT1E","1"
"CLEC5A","1"
"ZNF703","3"
"DOT1L","2"
"MYO9B","1"
"LPP","1"
"WNK1","1"
"PTGES","3"
"EPHA1-AS1","2"
"PIWIL4","2"
"RPS3A","3"
"CCN4","1"
"BAIAP2-DT","1"
"ADAT2","2"
"TRIM28","2"
"CDKN2A","1"
"ENTPD4","1"
"MRPL51","3"
"MAN2A2","1"
"ZNF248","2"
"TMEM44","2"
"TMSB4Y","1"
"AC103858.3","2"
"RBMX","2"
"ATP6V0A2","1"
"FOPNL","3"
"WDR90","2"
"MIEN1","3"
"RALGPS2","2"
"RPS28","3"
"DDX39A","2"
"NAIP","1"
"SLC16A9","2"
"PSMB3","3"
"AGPAT3","3"
"CBFA2T3","2"
"EIF4A3","2"
"AL391840.1","2"
"NOD2","1"
"PPFIBP1","2"
"PPP6C","3"
"TUBGCP6","2"
"CPNE7","2"
"CARD8","2"
"ANKRD13A","1"
"MT-CO2","2"
"EEF1AKNMT","3"
"AC005343.1","1"
"TENT5A","2"
"PSAP","3"
"UBE2L3","3"
"POMZP3","2"
"METRNL","3"
"HEXB","3"
"DENND1A","1"
"TOR2A","3"
"AC092140.1","1"
"SCD","1"
"USP15","1"
"VCL","1"
"PLEKHA5","2"
"TRIM14","1"
"NUP62","1"
"AC027307.3","2"
"ZNF506","2"
"MFGE8","2"
"SMIM24","2"
"AL162458.1","2"
"GOLGA3","2"
"KCNQ5-IT1","2"
"ADM5","2"
"GARS-DT","2"
"TMEM170B","1"
"SHFL","1"
"APTR","2"
"C12orf49","3"
"LINC02245","2"
"MSC","3"
"NAGA","3"
"DGAT1","1"
"AC092171.4","2"
"MPZ","2"
"TCEAL9","2"
"TCF4","2"
"NFKBIA","3"
"DDIT4","3"
"MAPKAPK3","3"
"GPR84","1"
"NDOR1","2"
"PFKM","2"
"H1FX","2"
"ATP5MG","3"
"AL357093.2","2"
"B4GALT6","2"
"AL135925.1","2"
"Z99756.1","1"
"C9orf43","2"
"HCAR2","1"
"NRP1","3"
"USP27X","2"
"NDST2","1"
"FAM174B","2"
"PHACTR3","2"
"CD164","1"
"ZNF738","2"
"EXD3","2"
"AC100793.2","2"
"ECH1","3"
"MGAM","2"
"ZDHHC4","3"
"TYMP","3"
"SATB1-AS1","2"
"PPL","2"
"IARS","2"
"TAPBP","1"
"DPM2","3"
"RFXANK","3"
"DDX43","3"
"FANCI","2"
"CCDC58","3"
"AC026471.2","2"
"LRRC24","2"
"ILF3-DT","2"
"POLD2","2"
"RIPOR1","2"
"AC008894.2","2"
"CRYBG1","2"
"SREBF2","1"
"LILRA6","3"
"LGALS9","3"
"TMPRSS13","2"
"AC123512.1","1"
"AC116366.1","1"
"ZCCHC8","2"
"IER3","3"
"RBBP6","2"
"SNRPD3","3"
"TNIP2","3"
"INTS13","2"
"STK11","2"
"MUC19","2"
"STXBP4","2"
"SAP18","3"
"ATP5F1B","3"
"MRPL13","3"
"AAK1","2"
"CSF2","3"
"SLC2A8","1"
"BPTF","1"
"CD300E","3"
"CPNE5","2"
"CYP2R1","2"
"ISG15","3"
"ZNF266","2"
"MMP2","2"
"USP11","2"
"HOXA3","2"
"GATAD2A","1"
"AZIN1-AS1","1"
"CYLD","1"
"OSBPL3","2"
"ENTPD7","1"
"CACNA2D4","3"
"ABL1","2"
"PKP2","2"
"LPAR4","2"
"APOBEC3A","3"
"NFXL1","1"
"RAB27A","1"
"OAS3","1"
"ZDHHC16","3"
"RAB2B","2"
"SULT2B1","3"
"TFR2","2"
"AVPI1","3"
"AP003696.1","1"
"CHPF2","2"
"MINK1","1"
"NPTX2","1"
"CEACAM4","3"
"ANKRD36B","2"
"NGRN","2"
"USP9X","1"
"PTX3","1"
"PNKP","2"
"ZNF512B","2"
"COX14","3"
"FGL2","3"
"CD163","3"
"AC005332.6","1"
"AL139383.1","2"
"ZMAT5","3"
"RELA-DT","3"
"PREX1","1"
"CYP3A5","1"
"AC007342.5","1"
"P2RX4","1"
"C16orf74","3"
"RGP1","2"
"PXN","2"
"SSR1","3"
"WAKMAR2","1"
"PPP6R3","1"
"AC026471.4","2"
"RPS6KA5","2"
"RPGR","1"
"ETFB","3"
"ADORA2A","1"
"AP005329.3","2"
"FNIP2","1"
"RAB30-DT","2"
"LRMDA","3"
"MYO15B","2"
"AC104532.2","1"
"C9orf131","1"
"TFB1M","2"
"DPYSL2","3"
"KIF18A","2"
"ZNF598","2"
"RNF146","1"
"NIFK-AS1","2"
"RER1","3"
"PRSS21","3"
"UBA7","2"
"AC093525.6","1"
"LSM5","3"
"UHRF1","2"
"YBX1","3"
"MCOLN1","2"
"AC010542.2","2"
"ST3GAL1","2"
"LINC01107","2"
"KATNB1","2"
"AC022730.4","3"
"PPP2R5E","1"
"ANKRD13D","2"
"LRRC25","3"
"IFNGR1","1"
"NUDT5","3"
"NEBL","2"
"SCAI","2"
"CDK13","2"
"HDDC3","3"
"DERL3","2"
"ECI2","3"
"CEP295NL","1"
"NSMAF","1"
"RPL38","3"
"IRF8","1"
"PI15","2"
"HLTF","2"
"LAMTOR2","3"
"DGUOK-AS1","3"
"SNRNP70","2"
"DLL1","2"
"PPIF","1"
"HSPA14","2"
"ATRX","1"
"ZNF570","2"
"COQ10B","1"
"RAB11FIP4","2"
"MLEC","1"
"CDK17","2"
"GBP2","3"
"MAP7","2"
"SWI5","3"
"LINC02476","1"
"AC124283.1","2"
"WSB2","3"
"TDG","3"
"RASGRP4","1"
"AL590399.1","2"
"CCT8","3"
"EXT1","1"
"LINC00861","2"
"TNFSF13B","3"
"PEX10","3"
"NEDD9","1"
"AC093677.2","2"
"SHARPIN","3"
"AL121672.1","2"
"HOXB4","2"
"MRAS","3"
"AL133330.1","1"
"MALAT1","2"
"UQCR11","3"
"TBC1D24","2"
"YBX3","2"
"TOMM5","3"
"EIF3D","3"
"GINS4","2"
"ITGA5","1"
"HOXB7","3"
"DOCK11","1"
"HNRNPD","2"
"TSC22D2","1"
"ZBTB46","2"
"ATF4","2"
"POLR2H","3"
"CXorf21","2"
"GOLM1","3"
"MT-ND2","1"
"ANO8","2"
"GAS5","3"
"MPND","3"
"FBXO8","2"
"RPL31","3"
"NBN","1"
"LINC02471","1"
"NXT1","3"
"CIAO3","2"
"AL136169.1","1"
"RPL5","3"
"DIO2","2"
"EIF4A1","2"
"TBC1D7","1"
"FBXL19","2"
"FAHD1","3"
"SMIM30","3"
"HIST1H2BD","2"
"AL499604.1","2"
"MRPL39","3"
"LINC00266-1","2"
"NET1","2"
"FBRSL1","2"
"GLUL","2"
"AC023509.3","2"
"RNF24","2"
"KCNK6","1"
"PCGF5","3"
"KCNG2","2"
"PMS2","2"
"NUDCD3","2"
"SLC31A2","1"
"SDF2L1","3"
"HLX","2"
"AL121890.4","2"
"MKRN1","1"
"KLHL21","1"
"BMERB1","3"
"PLEC","1"
"RNF141","3"
"DNAJA2","1"
"AC092428.1","2"
"WASHC1","2"
"GABARAPL2","3"
"MED23","2"
"CD44-AS1","1"
"AC022217.3","1"
"UBALD2","2"
"ADM","2"
"PABPN1","2"
"CWC15","3"
"PPP1CB","1"
"COCH","1"
"ELOB","3"
"AGPAT2","3"
"NBDY","3"
"ZFYVE26","1"
"CDKN1B","2"
"TNFRSF14","1"
"TSPYL2","2"
"SERTAD1","3"
"LSM3","3"
"TPM2","2"
"CAND1","2"
"TIMM8B","3"
"AL109615.3","2"
"RICTOR","1"
"RNASE6","3"
"ATAD3B","2"
"RHOQ","1"
"MS4A6A","3"
"ETS1","2"
"ZDHHC8","2"
"TGFBR2","1"
"DIAPH1","1"
"MED29","2"
"MRVI1","2"
"CSTF3","2"
"MARCH3","2"
"HIST1H2AE","2"
"APBB3","2"
"FOXB1","2"
"ZNF521","2"
"LMAN1","3"
"PRELID1","3"
"ACOT11","2"
"TAF10","3"
"AC025171.2","2"
"AC114341.2","2"
"CCDC180","2"
"OXLD1","3"
"TWSG1","2"
"UXT","3"
"LRMP","2"
"FBH1","2"
