"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PMAIP11",2.92690757746994e-15,0.549577419579804,0.494,0.349,6.22084936515461e-11,"3","PMAIP1"
"AHNAK1",3.09146397450947e-15,0.250497097750706,0.672,0.501,6.57059753142243e-11,"3","AHNAK"
"IQGAP21",3.3269526032062e-15,0.289151250690479,0.466,0.319,7.07110506285446e-11,"3","IQGAP2"
"ACTR2",3.85114282649654e-15,0.331267879477422,0.663,0.549,8.18521896343574e-11,"3","ACTR2"
"ARF6",4.84326023483674e-15,0.259463654239071,0.602,0.455,1.0293865303122e-10,"3","ARF6"
"HSP90AA11",1.2832112587763e-14,0.263054496750418,0.958,0.92,2.72733720940315e-10,"3","HSP90AA1"
"TES",1.29480664998053e-14,0.291241485721074,0.417,0.281,2.75198205386862e-10,"3","TES"
"TPI1",1.30417679888585e-14,0.297442307850415,0.58,0.449,2.77189736835199e-10,"3","TPI1"
"SKAP1",1.69413860563824e-14,0.267042271280679,0.506,0.358,3.60072219242352e-10,"3","SKAP1"
"SELENOW",3.67703531707675e-14,0.274828672983266,0.633,0.513,7.81517086291492e-10,"3","SELENOW"
"BTN3A2",2.45812831312023e-13,0.250879859843918,0.449,0.306,5.22450591670574e-09,"3","BTN3A2"
"ANXA6",3.39377727934366e-13,0.2674228889453,0.472,0.341,7.21313422951701e-09,"3","ANXA6"
"COPE",3.73947426534132e-13,0.251670226261451,0.568,0.444,7.94787860355645e-09,"3","COPE"
"MACF11",3.98512209623245e-13,0.265868441506044,0.5,0.361,8.46997850333244e-09,"3","MACF1"
"WIPF11",5.74921450943456e-13,0.281180197308378,0.551,0.419,1.22193805183522e-08,"3","WIPF1"
"CEMIP21",6.64231934172386e-13,0.293234464864401,0.417,0.288,1.41175855288999e-08,"3","CEMIP2"
"PSMB91",8.64776307804021e-13,0.281256630760794,0.627,0.508,1.83799556460667e-08,"3","PSMB9"
"FYN1",1.8569113967128e-12,0.265529125103536,0.562,0.424,3.94667948257339e-08,"3","FYN"
"TMBIM6",2.03694637706113e-12,0.276645217764113,0.697,0.61,4.32932582980572e-08,"3","TMBIM6"
"RSRP1",2.08584372346413e-12,0.271041075350526,0.716,0.635,4.43325224985067e-08,"3","RSRP1"
"ARL6IP5",3.23774743683048e-12,0.292229001806572,0.725,0.649,6.8815084022395e-08,"3","ARL6IP5"
"GUK11",4.63176840513583e-12,0.275599450886393,0.737,0.665,9.84436056827569e-08,"3","GUK1"
"GNAI2",6.4777075936219e-12,0.25814128295398,0.712,0.606,1.3767719719484e-07,"3","GNAI2"
"GNG51",1.80207568299043e-11,0.256852382801178,0.561,0.448,3.83013165662786e-07,"3","GNG5"
"TMEM50A",7.92876134063919e-11,0.250200183261693,0.534,0.425,1.68517893533945e-06,"3","TMEM50A"
