"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903131","GO:1903131","mononuclear cell differentiation","36/408","474/18614",9.70130770270117e-11,7.32269077707592e-09,5.36124899359802e-09,"3458/3106/567/3398/864/3956/5788/925/60/5295/3561/4092/30009/3123/301/3659/3146/3688/22806/6095/639/22890/3676/3725/387/4627/2207/7704/4067/57580/101/6693/1051/7535/27166/3726",36
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","29/408","319/18614",1.06379082104335e-10,7.88365706649578e-09,5.77195593810122e-09,"3458/3106/7305/3398/864/5788/60/5295/3561/4092/7040/30009/3123/301/3659/3146/22806/639/22890/387/6348/7704/4067/101/1051/7535/27166/5196/3726",29
"GO:0002819","GO:0002819","regulation of adaptive immune response","23/408","205/18614",1.53189155868746e-10,1.11499821307323e-08,8.16336949037396e-09,"3824/3107/3106/3105/567/975/5788/4092/7040/3133/30009/3123/3134/301/3659/3146/7133/22890/11126/121260/10666/8631/3726",23
"GO:0007596","GO:0007596","blood coagulation","24/408","224/18614",1.59399702728177e-10,1.1398476988071e-08,8.3453029960181e-09,"5341/2316/60/1192/10627/7094/4627/2207/4067/2149/71/7294/5478/5196/2812/81027/2815/10398/340205/80739/2162/7414/83706/2778",24
"GO:0071675","GO:0071675","regulation of mononuclear cell migration","18/408","122/18614",1.74791605111659e-10,1.20754336005953e-08,8.84093132009908e-09,"6352/6351/6846/22914/4478/1843/3146/811/3676/58515/387/6348/1524/4067/101/5594/6693/9750",18
"GO:0072676","GO:0072676","lymphocyte migration","18/408","122/18614",1.74791605111659e-10,1.20754336005953e-08,8.84093132009908e-09,"6352/6351/6846/22914/4267/4478/3683/30009/3676/58515/387/6348/101/6693/3695/7535/6349/9750",18
"GO:1903706","GO:1903706","regulation of hemopoiesis","33/408","415/18614",1.85767713224847e-10,1.26198199850746e-08,9.23949942092003e-09,"3458/3106/7305/567/3398/864/5788/7538/60/5295/3561/4092/7040/30009/3123/301/3659/3146/22806/639/22890/387/4792/6348/7704/4067/101/1051/7535/27166/5196/222166/3726",33
"GO:0002685","GO:0002685","regulation of leukocyte migration","24/408","227/18614",2.10181704127375e-10,1.40442725577571e-08,1.02824008835394e-08,"6352/6351/6846/975/22914/4267/5295/4478/301/1843/3146/811/5880/3676/58515/387/6348/1524/11314/4067/101/5594/6693/9750",24
"GO:0007015","GO:0007015","actin filament organization","34/408","442/18614",2.35659065042853e-10,1.54926830502366e-08,1.13428429439132e-08,"5216/3936/5341/2316/1072/10109/5295/7114/81873/8477/4542/389/7170/6281/11034/7456/7184/10788/5880/387/57580/71/10094/10092/998/51466/10093/10097/382/832/136319/10095/87/7171",34
"GO:0050817","GO:0050817","coagulation","24/408","229/18614",2.5207918143765e-10,1.63091229133312e-08,1.19405928049413e-08,"5341/2316/60/1192/10627/7094/4627/2207/4067/2149/71/7294/5478/5196/2812/81027/2815/10398/340205/80739/2162/7414/83706/2778",24
