"source","target","pathway_name","prob","pval"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","NOTCH",1.48308721694527e-08,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","OCLN",2.94081723623357e-11,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","PECAM1",0.00019689226278427,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","SELPLG",9.68061197188847e-06,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","SEMA4",1.08607138002716e-05,0
"FCGR3A+ Macrophage cells","Natural killer cells","CD45",1.02045427507231e-06,0
"FCGR3A+ Macrophage cells","Natural killer cells","CD48",1.479022083999e-07,0
"FCGR3A+ Macrophage cells","Natural killer cells","CD80",9.91305899972888e-09,0
"FCGR3A+ Macrophage cells","Natural killer cells","CD86",3.55781182195491e-07,0
"FCGR3A+ Macrophage cells","Natural killer cells","CDH",2.56483275132609e-11,0
"FCGR3A+ Macrophage cells","Natural killer cells","CLEC",0.00104094100202409,0
"FCGR3A+ Macrophage cells","Natural killer cells","EPHA",2.09968221731109e-10,0
"FCGR3A+ Macrophage cells","Natural killer cells","EPHB",4.44111150385194e-11,0
"FCGR3A+ Macrophage cells","Natural killer cells","ICAM",0.000212726234169787,0
"FCGR3A+ Macrophage cells","Natural killer cells","LCK",6.67680131541836e-07,0
"FCGR3A+ Macrophage cells","Natural killer cells","MHC-I",0.00626364326589748,0
"FCGR3A+ Macrophage cells","Natural killer cells","MHC-II",8.8222689633175e-06,0
"FCGR3A+ Macrophage cells","Natural killer cells","MPZ",4.49556435854979e-10,0
"FCGR3A+ Macrophage cells","Natural killer cells","SEMA4",1.73065711747735e-06,0
"Natural killer cells","FCAR+ Macrophage cells","APP",3.49618880737961e-06,0
"Natural killer cells","FCAR+ Macrophage cells","CD22",1.3902006840968e-05,0
"Natural killer cells","FCAR+ Macrophage cells","CD23",2.5049073883654e-06,0
