"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GBP4",8.68899611632088e-170,0.488573789465645,0.38,0.118,2.0086352322099e-165,"3","GBP4"
"CST31",4.60752082981561e-169,0.551029588493035,1,0.996,1.06512059022847e-164,"3","CST3"
"CD521",1.82462619078125e-168,1.13168417648268,0.904,0.765,4.21798836522902e-164,"3","CD52"
"PKN1",3.58659041797945e-168,0.625904351087484,0.777,0.465,8.29112106924309e-164,"3","PKN1"
"RABGAP1L",8.18737354995189e-166,0.671550035828942,0.6,0.281,1.89267514354238e-161,"3","RABGAP1L"
"CTSS1",5.46872403918987e-165,0.636957486620948,1,0.976,1.26420493613952e-160,"3","CTSS"
"SELPLG",7.39422908681323e-165,0.593168524378768,0.69,0.345,1.70932393799861e-160,"3","SELPLG"
"PTGES3",9.44549337189026e-164,0.744983018587324,0.917,0.793,2.18351470277987e-159,"3","PTGES3"
"FAM110A",6.87486907589367e-162,0.540515112122383,0.376,0.123,1.58926348427434e-157,"3","FAM110A"
"PIK3AP1",2.05561485060656e-161,0.637315219577782,0.716,0.38,4.75196485014719e-157,"3","PIK3AP1"
"CYTIP",3.11452393790281e-161,0.715991071786212,0.863,0.633,7.19984498724992e-157,"3","CYTIP"
"SFMBT2",5.63470192585695e-161,0.414528461127949,0.316,0.088,1.30257404420035e-156,"3","SFMBT2"
"ADGRE1",6.79157538769512e-161,0.448600824577279,0.423,0.146,1.57000848237348e-156,"3","ADGRE1"
"AC090559.1",1.29465193037903e-160,0.689713780573103,0.802,0.501,2.99284686745721e-156,"3","AC090559.1"
"CHCHD10",1.70377996065984e-160,0.686587308911843,0.862,0.657,3.93862813505735e-156,"3","CHCHD10"
"IFITM11",3.69051770695234e-160,0.507273031708541,0.358,0.109,8.53136978316172e-156,"3","IFITM1"
"EVL1",7.7104031126185e-160,0.532842343862348,0.554,0.229,1.78241388754402e-155,"3","EVL"
"CYFIP2",8.42077217808228e-160,0.39834573872913,0.371,0.116,1.94662990440728e-155,"3","CYFIP2"
"HCK1",8.5361471083836e-160,0.65908466003382,0.846,0.586,1.97330112704504e-155,"3","HCK"
"SLC7A71",8.17007028006501e-159,0.599443241088828,0.788,0.448,1.88867514664263e-154,"3","SLC7A7"
"JPT1",1.11928284275189e-158,0.745934332994264,0.805,0.549,2.58744614758955e-154,"3","JPT1"
"TMPO",7.14897103868019e-158,0.716696757775698,0.769,0.477,1.6526276350117e-153,"3","TMPO"
"GNG2",1.43084051280324e-157,0.679894589965498,0.632,0.31,3.30767401344726e-153,"3","GNG2"
"SRSF5",1.88470441555442e-157,0.743909545139856,0.998,0.992,4.35687119743716e-153,"3","SRSF5"
"CSTB",2.52124086274191e-156,0.768376877433653,0.948,0.856,5.82835250240046e-152,"3","CSTB"
"ZDHHC1",5.51864205257484e-156,0.442088312290579,0.333,0.098,1.27574448329373e-151,"3","ZDHHC1"
"RGS19",8.23889006713366e-156,0.627106529405548,0.849,0.608,1.90458421681929e-151,"3","RGS19"
"SYNGR2",1.92279012944791e-153,0.611644608989722,0.769,0.468,4.44491394224473e-149,"3","SYNGR2"
"EPB41L3",1.10163922778618e-152,0.480052473498555,0.443,0.163,2.54665940287332e-148,"3","EPB41L3"
"CD681",1.39513465557428e-151,0.594446004049221,0.988,0.882,3.22513278329107e-147,"3","CD68"
"ARPC5",4.29486807664894e-151,0.536665638819799,0.994,0.966,9.92844653278937e-147,"3","ARPC5"
"GNAI2",7.92925124840274e-150,0.511248599936649,0.997,0.976,1.83300501109326e-145,"3","GNAI2"
"CKS1B",2.13134710191229e-149,0.352730634898163,0.314,0.091,4.92703509549064e-145,"3","CKS1B"
"TPM3",1.16767048309293e-147,0.532772474069293,1,0.996,2.69930385576592e-143,"3","TPM3"
"UQCRB",3.11145701668707e-147,0.496637470891505,1,0.998,7.1927551854755e-143,"3","UQCRB"
"SNX18",1.49718273502771e-146,0.61241794301016,0.628,0.309,3.46103732856356e-142,"3","SNX18"
"HLA-C",3.33104903942063e-145,0.504574959101283,1,0.998,7.70038606442868e-141,"3","HLA-C"
