"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046651","GO:0046651","lymphocyte proliferation","37/578","306/18614",1.53267693460211e-12,2.08308826905775e-10,1.58439884973264e-10,"2214/7940/199/10288/7133/4067/10859/637/100/3133/3280/3113/6693/7305/4478/11314/5585/1051/5788/3965/4615/11151/29108/83593/64115/5777/8764/942/1794/3115/695/148022/5880/3958/3123/58515/5699",37
"GO:0030833","GO:0030833","regulation of actin filament polymerization","24/578","130/18614",1.69337106286331e-12,2.23573362328325e-10,1.70050104628589e-10,"23406/7114/10109/5216/7408/10094/136319/387/51466/26999/3055/10092/832/11151/29108/3059/9168/51429/2059/6840/10456/29766/829/85464",24
"GO:0002699","GO:0002699","positive regulation of immune effector process","34/578","267/18614",2.90928900247085e-12,3.73439568900495e-10,2.84038478925444e-10,"4067/3162/10859/6223/567/6688/3133/388325/7305/11314/3107/6813/5788/3965/4615/30817/29108/5777/5795/8764/3106/3134/942/64581/695/2268/3098/148022/5880/5914/5199/2219/7124/3123",34
"GO:0032943","GO:0032943","mononuclear cell proliferation","37/578","313/18614",3.04621697801414e-12,3.80447801497388e-10,2.89368947072239e-10,"2214/7940/199/10288/7133/4067/10859/637/100/3133/3280/3113/6693/7305/4478/11314/5585/1051/5788/3965/4615/11151/29108/83593/64115/5777/8764/942/1794/3115/695/148022/5880/3958/3123/58515/5699",37
"GO:0050866","GO:0050866","negative regulation of cell activation","31/578","225/18614",3.38286811508857e-12,4.11374567363796e-10,3.12891873581183e-10,"7940/10288/4067/3162/10859/55824/6688/6693/7305/11314/5585/1051/5788/3965/83593/64115/5777/864/8764/3134/10875/942/146722/374403/695/2268/10019/3958/3123/64092/9750",31
"GO:0006119","GO:0006119","oxidative phosphorylation","25/578","148/18614",4.59631006052776e-12,5.44603815120482e-10,4.14226161730154e-10,"637/387/400916/7381/4697/1350/1329/1340/514/1345/1337/51079/1349/4700/1351/29796/6390/51142/23479/7124/1347/4708/4729/55967/4709",25
"GO:0030041","GO:0030041","actin filament polymerization","26/578","162/18614",5.75871198751727e-12,6.65275202357933e-10,5.06008929640004e-10,"23406/199/7114/10109/5216/7408/10094/136319/387/51466/26999/3055/10092/832/11151/29108/3059/9168/51429/2059/6840/10456/29766/10093/829/85464",26
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production","28/578","190/18614",7.39641900844528e-12,8.13782196143468e-10,6.18963485443579e-10,"2214/10859/1524/353514/3133/4938/6693/7305/5788/3965/4615/29108/27202/64115/5777/5795/961/942/64581/409/695/148022/1536/5914/4940/55829/11027/58515",28
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","28/578","190/18614",7.39641900844528e-12,8.13782196143468e-10,6.18963485443579e-10,"2214/10859/1524/353514/3133/4938/6693/7305/5788/3965/4615/29108/27202/64115/5777/5795/961/942/64581/409/695/148022/1536/5914/4940/55829/11027/58515",28
"GO:1903131","GO:1903131","mononuclear cell differentiation","46/578","474/18614",7.88999820269841e-12,8.47899574294636e-10,6.44913194585312e-10,"10288/2207/4067/1436/1514/10859/974/55509/567/100/6688/3955/27166/6693/60/387/9935/1051/3676/5788/3965/3726/64115/5777/5795/864/3106/6647/10312/3688/10875/292/942/1794/9308/695/4066/5914/51341/677/2874/920/4853/3123/10320/5734",46
"GO:0009615","GO:0009615","response to virus","42/578","408/18614",1.00445957802298e-11,1.05491084319186e-09,8.02366155746107e-10,"10410/10581/10859/55509/10577/5452/4938/6397/8519/29800/2633/5788/3965/9636/4615/29108/1072/834/3433/200315/10875/60489/3660/81622/1130/3455/2268/148022/3454/81603/4940/7124/27350/3687/3716/2537/8780/3320/58515/22948/4599/5366",42
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","37/578","327/18614",1.13110740992558e-11,1.16152163139247e-09,8.83454419120823e-10,"2214/199/10288/4067/10859/567/100/6688/3133/3280/1445/3113/60/7305/387/5788/3965/4615/11151/29108/64115/5777/864/8764/961/3134/942/9308/3115/64581/695/148022/5914/920/3123/58515/3127",37
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","40/578","377/18614",1.24118509054274e-11,1.24685137030391e-09,9.48356296870071e-10,"2214/199/10288/4067/10859/567/1075/100/6688/3133/3280/1445/3113/60/7305/387/5788/3965/4615/11151/29108/64115/5777/864/8764/961/3134/942/9308/3115/64581/695/2268/148022/5914/7124/920/3123/58515/3127",40
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation","26/578","168/18614",1.34919203692429e-11,1.30500238378798e-09,9.92586011109029e-10,"7940/10288/4067/10859/55824/6693/7305/11314/5585/1051/3965/83593/64115/5777/864/8764/3134/10875/942/374403/695/2268/3958/3123/64092/9750",26
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","37/578","329/18614",1.35555322271853e-11,1.30500238378798e-09,9.92586011109029e-10,"2214/10288/2207/4067/10859/974/100/4938/1445/728/388325/7305/11314/118788/3055/2633/5788/27202/5777/5795/961/23180/64005/3115/64581/719/695/2268/2219/4214/2874/4814/11027/5058/3958/3123/7430",37
"GO:0002758","GO:0002758","innate immune response-activating signaling pathway","29/578","209/18614",1.42837689403109e-11,1.34704686271789e-09,1.0245650803802e-09,"4067/4938/7867/388325/7305/6397/11314/1520/118788/3055/4615/29108/834/330/23180/146722/64581/409/81622/695/148022/2219/4940/2874/4814/7124/11027/5058/8780",29
"GO:0002274","GO:0002274","myeloid leukocyte activation","31/578","240/18614",1.86466335235871e-11,1.72332187024992e-09,1.31076019653174e-09,"2214/712/199/2207/4067/3162/55509/1075/1524/6688/728/7305/11314/6813/5788/3965/4615/30817/29108/5777/1794/8773/146722/695/2268/148022/867/5880/7124/11027/4853",31
